State,AgeGroup,Income,SavingsRate,Savings,PLI,Food,Transport,Housing,Health,Subscription,Restaurants,Clothing,Fitness,Others
Sarawak,40-44,4351.13,0.1535,668.11,2618,1027.91,409.36,999.77,97.98,251.57,384.4,116.64,81.92,313.47
Perlis,35-39,2555.14,0.0833,212.96,2140,793.93,284.31,535.99,62.79,157.22,267.6,65.56,27.55,147.24
Selangor,45-49,5441.03,0.1535,835.4,2830,531.66,505.81,1339.26,111.67,404.0,971.67,128.03,148.58,464.95
W.P. Kuala Lumpur,60-64,4774.06,0.1965,937.87,2816,543.78,387.27,1358.42,88.22,261.68,689.46,64.63,94.51,348.22
Pahang,35-39,4385.76,0.1545,677.65,2480,956.75,430.54,905.21,109.58,298.6,482.37,124.09,86.47,314.51
W.P. Putrajaya,30-34,7697.2,0.1638,1260.64,2450,463.09,114.53,2980.55,174.0,379.09,560.6,190.81,472.17,1101.72
Kelantan,55-59,7012.52,0.1961,1374.81,2271,1189.67,707.45,1172.71,86.72,495.63,1107.77,149.42,115.53,612.81
Kedah,45-49,3961.82,0.1594,631.64,2627,1253.6,366.37,815.63,104.78,180.97,285.97,138.38,33.39,151.09
Sabah,45-49,3860.86,0.1472,568.47,2742,872.63,373.05,1076.27,69.65,224.77,316.92,104.8,33.51,220.8
Perak,55-59,4394.55,0.152,668.06,2297,901.16,378.68,893.6,117.77,274.2,579.14,130.21,81.15,370.58
Selangor,45-49,4386.8,0.1954,857.4,2830,649.15,380.31,1068.1,95.16,256.04,588.77,108.12,73.81,309.94
Pulau Pinang,55-59,4636.23,0.1465,679.03,2250,561.67,336.31,1151.74,108.38,302.25,881.28,121.66,91.19,402.71
Selangor,40-44,4022.22,0.1932,777.04,2830,469.64,357.68,922.0,90.66,278.79,615.45,98.73,77.52,334.7
Perak,50-54,3292.62,0.1989,654.98,2297,910.68,239.44,655.38,82.42,143.93,298.52,92.39,31.64,183.23
W.P. Kuala Lumpur,35-39,4454.62,0.114,507.97,2816,538.33,403.06,1386.63,96.36,281.49,727.95,72.2,94.66,345.96
Kedah,30-34,6707.28,0.1984,1330.84,2627,866.12,992.77,1379.4,164.26,237.93,354.38,245.39,186.79,949.41
Kelantan,55-59,3995.26,0.1524,608.96,2271,1037.09,390.66,658.52,52.85,247.01,573.81,105.02,42.24,279.1
W.P. Putrajaya,60-64,7267.22,0.1512,1098.7,2450,415.53,110.62,2849.41,166.85,340.67,556.66,183.07,470.82,1074.89
Terengganu,55-59,4311.12,0.1583,682.49,2751,857.36,350.34,781.33,102.0,288.84,683.85,144.71,81.58,338.62
Kelantan,25-29,6084.94,0.1915,1165.4,2271,901.14,817.25,1229.34,83.04,208.12,500.19,148.33,130.49,901.63
Perak,20-24,2019.42,0.0495,100.0,2297,685.01,152.36,541.62,62.6,97.56,190.34,61.31,21.52,107.1
Terengganu,50-54,4931.61,0.1736,855.94,2751,1116.62,420.72,867.33,117.02,296.99,680.61,161.84,72.35,342.2
Terengganu,55-59,6005.68,0.1945,1168.01,2751,970.17,511.67,1044.09,135.94,401.11,970.22,166.28,146.39,491.79
Johor,30-34,4054.01,0.1434,581.22,2589,699.83,393.5,925.44,137.15,274.95,487.93,105.53,91.38,357.07
W.P. Kuala Lumpur,35-39,7048.68,0.1609,1133.91,2816,600.2,569.75,2158.95,129.78,453.03,1096.55,86.96,190.37,629.17
Pulau Pinang,30-34,4687.97,0.1471,689.69,2250,588.49,338.6,1115.91,112.01,327.35,872.14,120.96,100.76,422.04
Perlis,35-39,3482.47,0.1401,487.84,2140,831.78,414.08,643.46,81.74,229.76,409.32,94.08,46.7,243.7
Sarawak,40-44,6045.75,0.1844,1114.76,2618,1212.13,564.75,1281.56,138.35,392.47,560.76,155.41,134.58,490.99
W.P. Putrajaya,45-49,7940.76,0.1638,1300.57,2450,436.95,119.79,3090.76,168.16,357.16,585.11,179.11,498.87,1204.27
W.P. Labuan,30-34,2625.18,0.0407,106.8,2816,812.07,180.99,972.49,46.02,158.24,184.69,45.55,22.03,96.31
W.P. Kuala Lumpur,20-24,4874.96,0.1949,949.96,2816,535.26,412.1,1392.05,92.36,270.29,689.31,69.11,98.48,366.05
Melaka,35-39,4715.96,0.1538,725.17,2670,745.55,589.34,809.29,169.4,328.59,583.03,176.74,147.04,441.8
Pahang,55-59,3531.97,0.1905,672.72,2480,884.24,301.89,725.44,81.91,203.75,328.75,93.52,53.96,185.79
W.P. Kuala Lumpur,45-49,4744.33,0.1967,933.13,2816,541.84,390.22,1367.51,88.16,271.15,673.14,71.18,80.56,327.45
Selangor,45-49,4905.8,0.1457,714.54,2830,644.8,442.31,1186.42,106.18,333.06,846.42,116.46,100.98,414.61
Pahang,25-29,3317.03,0.1985,658.5,2480,725.34,311.61,598.92,79.73,219.72,342.14,89.99,64.37,226.72
Pahang,55-59,4447.22,0.1509,671.17,2480,788.79,430.25,897.21,115.33,347.73,581.04,126.25,121.23,368.23
Perak,55-59,5113.83,0.1751,895.36,2297,1054.67,442.53,980.37,138.63,327.95,637.43,156.35,91.22,389.33
W.P. Labuan,60-64,6874.36,0.1832,1259.42,2816,828.62,752.47,2230.21,103.23,305.74,337.81,126.7,170.43,759.72
Negeri Sembilan,20-24,6417.92,0.1893,1214.98,2402,688.69,795.25,1398.03,167.69,247.19,385.88,141.78,333.17,1045.26
W.P. Labuan,40-44,7278.94,0.196,1426.68,2816,1041.72,584.0,2056.44,97.95,621.77,749.19,113.32,140.96,446.91
Kelantan,20-24,4152.11,0.157,651.84,2271,936.32,392.56,709.88,56.38,277.1,654.72,97.16,53.28,322.87
W.P. Putrajaya,25-29,3424.01,0.08,273.88,2450,522.15,40.48,1415.33,88.75,277.5,416.85,93.23,84.19,211.66
Terengganu,50-54,5044.79,0.1717,866.35,2751,995.72,445.0,861.18,108.87,313.27,804.07,175.5,83.12,391.71
Pulau Pinang,45-49,3476.21,0.1167,405.52,2250,597.63,255.61,945.57,90.01,201.73,551.47,107.01,56.93,264.72
Kelantan,20-24,2784.03,0.104,289.56,2271,938.99,271.39,547.61,37.2,131.66,322.53,69.19,20.24,155.66
Perak,45-49,3630.04,0.1484,538.86,2297,1108.95,252.47,913.49,98.46,153.72,283.41,93.38,32.68,154.62
W.P. Kuala Lumpur,60-64,5851.65,0.1492,873.15,2816,550.94,510.95,1860.34,108.4,353.22,914.95,81.51,147.71,450.49
Terengganu,60-64,5481.08,0.1858,1018.57,2751,1071.06,437.11,956.28,115.63,366.63,818.52,175.42,95.75,426.12
Melaka,15-19,5004.57,0.1601,801.18,2670,767.03,592.75,841.0,166.21,373.52,658.59,186.11,156.89,461.29
Negeri Sembilan,50-54,6603.35,0.1882,1242.95,2402,685.54,753.5,1518.16,170.82,258.31,371.98,142.73,360.58,1098.78
Kedah,35-39,4641.58,0.1685,782.33,2627,963.65,509.84,806.15,114.97,329.97,524.9,179.69,84.0,346.07
Perlis,15-19,3380.34,0.1941,656.01,2140,796.76,380.28,539.49,68.68,219.97,363.36,82.84,41.75,231.19
Terengganu,15-19,3297.93,0.1915,631.46,2751,676.88,275.58,564.63,73.91,210.11,472.71,108.95,51.85,231.85
W.P. Putrajaya,15-19,3613.66,0.0838,302.73,2450,455.94,49.72,1324.88,95.35,326.44,533.79,104.83,118.84,301.15
Negeri Sembilan,25-29,4184.68,0.1492,624.32,2402,679.63,406.51,855.25,111.94,326.75,528.07,104.05,171.42,376.74
W.P. Kuala Lumpur,15-19,4734.7,0.1905,902.07,2816,502.68,393.99,1389.14,88.97,279.1,678.46,69.16,91.61,339.52
Negeri Sembilan,25-29,4068.62,0.1473,599.31,2402,744.36,382.82,831.95,113.21,318.04,499.24,103.94,128.1,347.65
Terengganu,60-64,5139.12,0.1779,914.06,2751,947.66,441.4,932.45,120.93,341.59,790.26,165.66,115.49,369.63
Sabah,45-49,6314.73,0.1922,1213.9,2742,1068.48,632.86,1617.29,114.74,412.34,611.08,146.84,87.01,410.2
Johor,40-44,3101.76,0.1005,311.76,2589,838.71,246.08,895.78,118.86,153.66,264.07,74.29,40.38,158.17
Negeri Sembilan,15-19,4593.59,0.1577,724.43,2402,786.36,406.96,925.3,119.5,349.74,560.4,115.61,159.74,445.55
Pulau Pinang,45-49,5731.4,0.1648,944.69,2250,657.34,400.18,1425.18,124.84,389.23,1034.28,149.57,119.92,486.16
W.P. Putrajaya,45-49,3682.07,0.0896,329.96,2450,562.92,43.26,1501.72,94.65,286.66,449.72,100.53,89.71,222.96
Sarawak,60-64,4195.81,0.146,612.65,2618,1013.27,394.46,921.72,102.72,269.57,370.34,117.26,82.24,311.57
W.P. Labuan,55-59,6067.24,0.1757,1066.18,2816,1021.84,527.76,1697.72,85.79,466.28,615.68,113.16,110.51,362.31
W.P. Putrajaya,40-44,5753.01,0.1432,823.56,2450,530.15,75.56,1898.67,132.66,541.63,874.15,157.95,228.92,489.75
W.P. Putrajaya,30-34,3228.55,0.0789,254.79,2450,478.26,39.88,1338.96,86.57,251.87,405.3,92.4,78.13,202.39
Kedah,15-19,2358.26,0.0461,108.64,2627,849.77,236.53,568.42,68.53,122.68,190.25,92.34,21.92,99.2
Melaka,15-19,2684.11,0.1239,332.54,2670,550.43,334.0,510.49,94.1,161.67,306.41,112.25,67.44,214.79
Pulau Pinang,55-59,3982.53,0.1989,792.06,2250,624.43,278.24,966.16,95.79,209.84,557.46,111.42,59.02,288.11
W.P. Labuan,55-59,5102.72,0.1565,798.42,2816,936.98,417.37,1432.07,72.97,437.01,518.3,93.82,82.05,313.73
Negeri Sembilan,55-59,3084.94,0.0911,280.93,2402,760.58,306.12,694.31,95.48,201.61,326.2,86.85,80.6,252.26
W.P. Labuan,50-54,4817.26,0.1494,719.55,2816,906.16,405.77,1333.57,75.53,391.26,509.47,95.6,72.96,307.39
W.P. Putrajaya,25-29,4506.85,0.1047,471.71,2450,518.74,53.47,1622.41,116.02,416.17,671.17,125.85,149.53,361.78
W.P. Kuala Lumpur,40-44,3431.85,0.0766,262.74,2816,600.81,284.53,1296.15,74.84,164.3,430.77,53.22,50.28,214.21
W.P. Putrajaya,25-29,4776.15,0.1122,535.68,2450,497.79,60.03,1706.93,116.52,459.52,688.76,125.66,184.4,400.84
W.P. Putrajaya,25-29,4793.2,0.1113,533.61,2450,474.31,61.46,1656.38,114.8,453.73,769.06,129.02,199.44,401.39
Melaka,25-29,4102.82,0.1459,598.49,2670,686.67,495.83,739.14,135.44,284.48,535.21,155.89,130.88,340.79
Selangor,55-59,4658.78,0.1477,688.07,2830,574.66,417.57,1141.01,98.09,338.92,793.45,106.81,105.96,394.25
W.P. Putrajaya,30-34,6111.12,0.1477,902.72,2450,550.86,72.45,2045.34,134.84,579.14,902.59,155.33,237.85,530.0
Sabah,45-49,3528.08,0.1951,688.44,2742,898.78,286.88,970.79,59.95,153.57,229.89,75.41,20.38,144.01
Perlis,40-44,5908.74,0.1803,1065.56,2140,940.93,640.02,1075.08,127.73,501.26,782.99,128.26,136.01,510.89
W.P. Labuan,45-49,4171.39,0.1909,796.53,2816,900.17,354.46,1077.46,59.72,289.68,358.88,84.36,48.02,202.11
Negeri Sembilan,35-39,4088.0,0.1496,611.56,2402,725.15,410.09,792.25,116.95,325.86,479.12,97.73,133.41,395.88
Pulau Pinang,20-24,3555.49,0.1114,396.05,2250,548.96,276.68,958.16,89.29,226.68,619.69,105.19,59.41,275.38
Perak,50-54,3259.3,0.1945,633.92,2297,855.2,239.55,689.04,82.85,151.52,307.68,95.97,31.48,172.09
W.P. Labuan,35-39,4282.73,0.1476,632.26,2816,919.69,351.01,1188.37,64.82,331.09,416.73,82.45,53.94,242.38
Melaka,20-24,8119.8,0.1916,1556.15,2670,732.32,1197.12,1648.87,255.61,269.59,511.68,271.24,385.2,1292.01
Johor,30-34,3818.79,0.1499,572.49,2589,630.78,370.87,860.78,126.01,271.0,452.63,95.48,90.57,348.19
W.P. Putrajaya,30-34,8607.37,0.1763,1517.31,2450,468.95,119.01,3346.71,193.32,403.49,596.68,193.01,516.54,1252.33
Perlis,60-64,4028.94,0.1591,641.13,2140,840.84,450.15,700.19,90.53,289.08,526.8,96.67,69.84,323.71
Pahang,55-59,5296.85,0.1744,923.61,2480,917.39,514.15,1008.79,123.69,398.79,680.91,141.55,138.63,449.34
Selangor,60-64,3669.2,0.105,385.38,2830,606.18,357.24,967.76,87.08,238.43,554.96,104.62,71.33,296.23
Kedah,40-44,3361.9,0.1461,491.19,2627,1058.56,291.25,747.82,86.47,160.78,234.85,122.12,30.6,138.25
Sarawak,20-24,4298.25,0.1546,664.68,2618,879.03,414.5,962.39,102.06,297.56,397.71,111.12,99.85,369.35
Johor,40-44,3209.29,0.1137,365.02,2589,857.67,239.48,932.14,119.84,160.43,266.09,74.0,40.38,154.24
W.P. Putrajaya,20-24,5619.75,0.1973,1108.96,2450,443.97,62.31,1762.27,120.28,520.17,791.87,126.55,241.44,441.93
Melaka,25-29,7122.43,0.1927,1372.67,2670,613.14,1021.3,1470.8,230.64,233.39,437.82,242.15,343.54,1156.98
Kedah,15-19,3881.66,0.1526,592.41,2627,867.56,462.18,703.71,91.66,258.35,428.25,152.98,62.77,261.79
Kelantan,30-34,4075.68,0.1534,625.15,2271,927.6,403.16,686.93,53.6,250.13,666.98,97.38,50.4,314.35
Kelantan,35-39,3138.76,0.1941,609.23,2271,986.16,240.35,623.27,41.05,129.04,302.75,59.45,20.08,127.37
W.P. Labuan,55-59,4273.15,0.1466,626.64,2816,990.0,357.65,1203.11,62.84,311.56,374.19,83.22,49.67,214.28
Sabah,25-29,4235.86,0.1512,640.37,2742,809.98,403.05,1141.16,76.01,291.43,435.56,101.81,49.73,286.78
Perak,55-59,4237.61,0.1546,655.19,2297,970.81,377.75,812.0,117.84,263.09,510.85,132.39,64.77,332.91
Selangor,60-64,3444.21,0.094,323.66,2830,691.13,264.28,1151.18,91.51,181.6,427.85,73.4,47.46,192.14
Kedah,45-49,4826.94,0.1758,848.76,2627,1098.09,548.16,831.04,117.85,302.24,493.17,190.77,70.2,326.66
Terengganu,25-29,6976.13,0.1941,1353.75,2751,909.77,776.7,1539.45,156.85,248.17,536.81,219.24,203.98,1031.41
Sabah,50-54,3788.39,0.1438,544.95,2742,926.37,361.25,1061.72,70.56,199.8,278.35,101.22,29.81,214.35
Perlis,50-54,5761.19,0.1827,1052.81,2140,1050.59,686.36,960.9,122.06,450.06,708.29,143.32,118.37,468.43
Perlis,15-19,4969.53,0.1792,890.68,2140,891.62,567.48,857.49,110.78,373.12,644.18,125.57,97.34,411.29
Perlis,60-64,4751.06,0.1683,799.42,2140,830.44,579.45,869.0,104.1,352.7,612.8,114.05,93.1,396.0
Sarawak,15-19,4461.35,0.1599,713.44,2618,917.77,457.02,979.92,100.41,292.03,426.24,116.18,97.26,361.08
Kelantan,35-39,4894.29,0.1724,843.94,2271,1007.36,482.03,881.09,64.38,307.78,753.99,119.45,63.82,370.45
W.P. Putrajaya,20-24,4087.75,0.0992,405.45,2450,476.06,52.64,1482.54,103.23,399.99,591.62,114.75,146.77,314.7
Sabah,40-44,3597.72,0.1946,700.08,2742,798.07,331.72,912.95,57.09,199.6,285.37,87.22,28.01,197.6
Melaka,25-29,4174.41,0.142,592.69,2670,708.53,498.92,747.6,138.88,286.26,546.46,158.87,127.2,369.0
Sabah,45-49,5125.16,0.1659,850.21,2742,983.24,468.16,1346.71,93.69,344.47,478.83,125.34,57.52,376.99
Melaka,25-29,3351.01,0.1967,659.03,2670,654.23,378.9,568.84,108.26,180.44,333.92,136.18,76.59,254.62
W.P. Kuala Lumpur,15-19,6289.12,0.1532,963.23,2816,556.02,511.5,1909.57,117.92,408.08,1015.51,76.95,179.0,551.35
Johor,35-39,3467.64,0.194,672.76,2589,601.55,311.59,736.13,115.13,226.72,374.93,83.52,65.77,279.54
Perlis,25-29,5001.89,0.1713,856.66,2140,1017.73,590.46,824.7,107.0,384.83,626.44,120.13,82.52,391.41
W.P. Kuala Lumpur,45-49,5651.28,0.1434,810.24,2816,620.27,492.09,1717.79,111.73,337.25,910.03,86.48,122.64,442.76
Kedah,30-34,5665.91,0.185,1048.09,2627,1038.18,688.39,1000.89,132.84,367.97,636.83,220.81,117.66,414.26
Melaka,50-54,4304.89,0.1408,606.32,2670,645.86,517.15,767.47,140.62,293.96,598.36,164.51,147.16,423.49
Negeri Sembilan,45-49,8123.48,0.194,1575.7,2402,875.88,906.3,1878.21,209.89,312.06,478.61,188.96,428.84,1269.04
Selangor,55-59,6071.74,0.1671,1014.43,2830,593.2,559.35,1450.66,118.99,451.28,1066.59,138.96,166.81,511.47
Negeri Sembilan,35-39,3576.53,0.1967,703.49,2402,853.27,297.34,749.69,96.95,196.61,309.79,81.19,68.83,219.37
Selangor,15-19,3068.17,0.061,187.2,2830,521.57,314.48,877.75,72.51,214.13,483.69,84.05,57.71,255.09
Selangor,20-24,5626.48,0.1533,862.35,2830,546.57,537.32,1326.04,124.54,405.89,1057.38,135.06,155.35,475.99
W.P. Labuan,55-59,4638.51,0.1432,664.07,2816,830.38,384.69,1361.23,74.54,388.05,482.51,93.24,70.51,289.3
W.P. Kuala Lumpur,40-44,6136.29,0.1586,973.24,2816,539.61,482.02,1825.52,111.21,387.4,1043.83,73.74,169.18,530.53
Melaka,45-49,6297.98,0.1881,1184.63,2670,834.3,730.15,1048.19,195.37,436.63,835.05,231.97,238.59,563.11
Selangor,20-24,6118.72,0.1676,1025.32,2830,638.71,558.96,1464.21,131.62,443.69,1002.42,144.02,145.93,563.84
Sabah,35-39,3072.98,0.1162,357.05,2742,867.85,262.3,896.03,58.15,145.26,233.84,77.95,21.25,153.29
Johor,50-54,4427.07,0.1503,665.47,2589,783.45,440.43,995.17,146.89,294.41,533.2,111.63,95.38,361.03
W.P. Kuala Lumpur,45-49,5893.1,0.1452,855.86,2816,653.42,491.02,1775.06,112.56,370.05,924.94,91.85,134.18,484.16
Pahang,40-44,4352.16,0.1547,673.09,2480,897.83,411.45,875.59,114.94,332.12,508.3,119.98,93.19,325.67
W.P. Putrajaya,40-44,5191.8,0.1983,1029.69,2450,553.44,60.53,1715.1,112.34,427.82,662.69,132.33,151.33,346.52
W.P. Putrajaya,35-39,5089.2,0.1907,970.73,2450,514.21,55.62,1617.29,120.2,455.71,685.88,137.7,157.5,374.37
W.P. Labuan,25-29,3128.45,0.0794,248.5,2816,913.41,206.57,1136.5,50.69,171.98,216.82,52.17,25.43,106.38
Pulau Pinang,50-54,4561.43,0.1494,681.32,2250,546.92,330.15,1102.32,104.82,304.33,856.15,122.54,94.59,418.3
Negeri Sembilan,45-49,4168.63,0.1421,592.39,2402,932.95,404.67,827.07,118.46,280.09,461.58,111.56,108.84,331.03
Sabah,50-54,7108.19,0.1916,1362.21,2742,1119.63,686.43,1822.14,126.3,493.43,713.74,146.92,105.41,531.97
Pulau Pinang,55-59,7709.02,0.1984,1529.41,2250,604.92,681.58,2141.21,170.24,252.59,696.64,195.74,243.31,1193.38
Pahang,25-29,2598.65,0.0635,164.91,2480,845.64,221.03,680.23,76.65,148.06,230.84,68.16,37.35,125.8
W.P. Kuala Lumpur,35-39,3521.56,0.0752,264.93,2816,510.48,325.42,1231.32,77.16,201.37,512.67,63.35,67.74,267.12
Johor,40-44,4109.83,0.1473,605.5,2589,837.77,389.81,890.97,142.52,267.68,455.18,116.26,74.77,329.38
W.P. Kuala Lumpur,40-44,4041.91,0.1049,423.85,2816,585.95,389.88,1284.56,84.58,231.89,587.98,68.68,72.95,311.58
Sabah,30-34,2958.21,0.081,239.61,2742,821.19,289.71,863.56,54.85,155.85,250.45,82.13,26.06,174.8
Pahang,50-54,4706.67,0.1619,762.04,2480,865.4,423.39,947.57,120.75,366.79,566.39,132.16,121.54,400.63
Pahang,15-19,2402.1,0.0464,111.51,2480,716.01,237.91,581.19,65.55,163.95,248.96,74.75,40.91,161.36
Melaka,60-64,5098.23,0.1676,854.52,2670,585.51,597.85,903.6,157.76,398.42,721.55,159.55,220.03,499.46
W.P. Putrajaya,15-19,4079.05,0.0961,392.12,2450,459.13,52.04,1464.87,98.73,374.63,632.68,123.36,139.14,342.35
Perlis,30-34,2598.56,0.0875,227.38,2140,763.85,304.81,490.03,63.4,166.39,282.54,72.31,35.64,192.21
Sarawak,55-59,3324.43,0.1972,655.62,2618,880.34,283.14,797.83,72.72,146.65,211.34,76.09,42.39,158.3
Kedah,45-49,4075.11,0.1562,636.7,2627,785.87,508.99,751.88,95.94,280.78,469.76,164.75,81.81,298.61
Terengganu,50-54,3019.14,0.1921,579.92,2751,724.86,241.33,500.45,63.4,169.58,404.96,108.64,42.09,183.92
Pulau Pinang,25-29,4884.93,0.1559,761.48,2250,600.39,348.31,1203.07,116.36,319.36,884.33,129.8,95.88,425.94
Kelantan,45-49,4756.0,0.1608,764.59,2271,1118.42,461.48,846.48,63.47,286.73,717.73,110.2,58.42,328.48
Kelantan,15-19,2793.79,0.1054,294.6,2271,795.83,286.54,529.2,36.37,163.91,399.27,72.83,29.98,185.26
Kedah,40-44,3510.18,0.1464,513.99,2627,973.54,397.35,638.83,86.69,191.78,309.73,152.49,41.83,203.94
Kedah,25-29,3510.83,0.1479,519.24,2627,879.47,410.36,656.56,89.67,203.5,328.35,155.32,48.05,220.3
Kedah,35-39,4779.1,0.1703,813.99,2627,890.05,561.98,873.74,116.63,344.43,536.27,188.22,99.85,353.94
Terengganu,25-29,3795.08,0.1435,544.44,2751,857.3,332.16,706.31,90.58,231.22,567.33,136.81,60.1,268.84
Perlis,20-24,4686.41,0.1603,751.19,2140,915.44,530.09,813.6,105.0,353.88,618.95,119.9,82.48,395.88
Sarawak,45-49,3218.95,0.1997,642.91,2618,917.71,260.45,720.97,64.56,137.24,208.0,74.72,38.67,153.72
Johor,45-49,3240.04,0.1999,647.63,2589,797.09,225.61,821.71,116.48,143.18,236.27,65.1,36.45,150.52
Sabah,35-39,4328.0,0.1555,672.93,2742,803.83,414.18,1185.12,77.66,292.38,416.09,109.72,52.36,303.72
Sabah,60-64,7644.36,0.1998,1527.69,2742,878.13,943.55,2301.45,130.53,250.42,352.69,180.02,137.07,942.79
Negeri Sembilan,35-39,4641.64,0.1546,717.7,2402,790.1,421.25,933.62,126.25,356.18,576.82,113.77,156.02,449.93
Sarawak,40-44,3123.01,0.1139,355.7,2618,903.09,310.32,717.73,74.88,166.21,243.13,90.75,55.51,205.71
W.P. Kuala Lumpur,25-29,4348.37,0.1103,479.7,2816,588.98,409.14,1406.08,88.42,255.57,645.08,73.78,79.88,321.73
Selangor,15-19,6923.67,0.1738,1203.09,2830,474.23,780.65,1918.1,151.69,264.2,571.71,150.56,259.09,1150.37
Kedah,40-44,3364.73,0.1493,502.46,2627,860.33,399.21,599.6,83.77,191.03,324.65,143.61,44.4,215.67
Melaka,45-49,3459.84,0.1923,665.42,2670,718.71,373.95,639.18,115.12,178.69,343.89,127.91,68.2,228.77
Perak,40-44,3349.59,0.1929,646.07,2297,946.73,212.17,784.82,87.6,145.99,270.92,79.68,29.47,146.13
W.P. Labuan,55-59,6910.21,0.1821,1258.65,2816,814.33,734.55,2248.22,105.64,296.98,341.4,128.29,170.68,811.48
W.P. Labuan,35-39,4497.84,0.1418,637.84,2816,952.36,383.36,1222.97,69.99,366.69,436.4,85.73,66.92,275.59
Negeri Sembilan,40-44,5097.21,0.1692,862.3,2402,666.96,459.94,1043.41,134.0,422.75,675.61,109.32,232.52,490.41
W.P. Labuan,15-19,2829.68,0.1275,360.78,2816,796.18,193.17,915.7,48.04,160.72,193.51,47.1,21.67,92.82
Perak,20-24,4437.16,0.1563,693.69,2297,843.87,419.96,895.63,113.42,283.07,596.09,129.73,82.19,379.5
Melaka,50-54,5345.89,0.1606,858.61,2670,810.81,621.87,918.43,182.65,368.74,700.78,201.64,179.79,502.57
Pahang,35-39,3374.11,0.1977,667.13,2480,721.44,310.89,647.3,78.1,223.08,345.05,87.09,66.68,227.36
Kelantan,35-39,4993.75,0.1704,850.74,2271,1073.94,479.95,850.57,69.85,320.89,772.13,116.1,63.14,396.44
Melaka,20-24,2309.57,0.0428,98.89,2670,606.65,281.24,513.81,92.32,134.96,266.62,99.86,50.67,164.56
Terengganu,60-64,8039.66,0.1966,1580.62,2751,1032.4,873.72,1729.54,201.38,295.37,643.06,256.38,238.61,1188.57
Terengganu,25-29,6955.05,0.1976,1374.63,2751,859.44,773.8,1523.07,167.71,243.3,560.72,222.6,219.63,1010.15
W.P. Labuan,45-49,7202.38,0.1889,1360.38,2816,1051.92,573.62,1981.93,101.52,636.39,746.92,120.25,138.54,490.91
W.P. Labuan,50-54,4945.77,0.154,761.66,2816,974.11,449.39,1352.62,76.91,387.6,482.53,98.97,69.43,292.55
Negeri Sembilan,25-29,1934.28,0.0378,73.08,2402,619.21,153.73,543.67,63.71,116.82,171.42,44.81,38.52,109.3
Sarawak,35-39,3448.12,0.1994,687.53,2618,934.61,291.04,779.38,72.86,158.67,228.09,82.77,42.22,170.95
Pahang,45-49,3278.51,0.1957,641.52,2480,846.8,263.52,675.26,77.54,193.77,286.26,79.85,46.26,167.73
Pulau Pinang,50-54,3233.15,0.1043,337.29,2250,629.49,233.89,942.36,82.49,171.75,478.66,94.76,42.48,219.99
Perlis,50-54,5318.12,0.1703,905.5,2140,974.94,631.56,943.77,117.36,386.5,673.96,128.28,114.11,442.15
Terengganu,20-24,4106.49,0.1507,618.8,2751,828.08,360.44,764.42,97.94,280.56,624.88,135.3,71.97,324.09
W.P. Kuala Lumpur,60-64,4114.85,0.1036,426.29,2816,498.65,347.16,1337.97,90.22,251.11,676.4,66.73,88.21,332.09
Terengganu,45-49,4576.98,0.1609,736.49,2751,899.98,379.3,788.33,104.07,315.62,742.43,156.47,85.5,368.77
Terengganu,15-19,7034.25,0.1951,1372.17,2751,873.65,799.63,1612.54,175.06,256.14,546.53,223.18,205.17,970.19
Perlis,55-59,4228.61,0.1538,650.25,2140,921.55,503.23,760.19,91.94,312.72,499.26,101.65,69.27,318.55
Pahang,25-29,5429.66,0.178,966.3,2480,961.83,503.39,1047.58,134.84,450.14,650.36,136.75,139.94,438.52
Pahang,30-34,5018.58,0.1647,826.66,2480,879.77,479.52,980.17,123.01,412.94,620.27,138.07,160.28,397.89
Pahang,15-19,3059.86,0.1123,343.69,2480,799.43,290.29,651.99,75.35,210.12,326.09,90.24,61.01,211.64
Sabah,15-19,5452.07,0.1756,957.25,2742,977.58,553.96,1407.75,100.7,364.78,516.38,135.04,73.0,365.64
Selangor,35-39,3535.44,0.0919,324.85,2830,648.73,321.44,1071.87,86.86,205.69,499.82,89.62,52.02,234.55
Kedah,40-44,7305.79,0.194,1417.52,2627,937.02,1075.14,1610.6,177.6,249.0,401.12,273.3,192.93,971.57
Kelantan,15-19,4166.71,0.1538,640.71,2271,884.35,439.2,729.01,56.6,269.87,676.44,99.82,52.78,317.93
Terengganu,55-59,7223.09,0.1972,1424.68,2751,895.49,832.33,1574.72,164.43,246.12,551.2,245.62,214.81,1073.7
Sabah,25-29,3400.96,0.1916,651.46,2742,732.28,329.59,844.58,60.43,191.98,278.7,83.62,29.45,198.86
Pulau Pinang,45-49,3739.34,0.1934,723.06,2250,728.53,199.97,1134.95,89.14,164.17,416.71,80.23,37.19,165.39
Melaka,55-59,3952.61,0.1447,571.9,2670,977.44,365.03,910.63,149.42,205.27,352.68,140.9,68.69,210.65
Pahang,25-29,2740.98,0.0783,214.7,2480,824.99,257.62,643.83,72.41,179.5,260.78,77.83,46.64,162.68
W.P. Kuala Lumpur,50-54,3363.75,0.0777,261.52,2816,588.11,285.77,1264.6,73.21,173.98,422.23,51.37,46.48,196.47
Perlis,30-34,2843.38,0.1049,298.24,2140,800.25,353.45,525.11,65.55,180.69,308.35,76.59,38.06,197.07
